Timestamp,ตำแหน่งที่ตั้งของร้าน,วันที่สำรวจร้านค้าในพื้นที่สยามสแควร์,ประเภทของร้านค้า,ลักษณะของร้าน,จำนวนวันที่เปิดทำการของร้าน(ต่อสัปดาห์) ,เวลาที่เปิด-ปิดของร้าน,มีห้องน้ำภายในตัวร้านค้าหรือไม่,กลุ่มลูกค้าส่วนใหญ่ที่เข้ามาใช้บริการในร้าน,ท่านเคยพบสัตว์ประเภทใดในบริเวณร้านบ้าง,1.วิธีในการรวบรวมขยะมูลฝอย,Basic Cleaning เช่น ปัด กวาด เช็ด ถู ดูดฝุ่น ทั่วไป,Mid-Level Maintenance Cleaning เช่น ทำความสะอาด ถังขยะ ปัดกวาดเช็ดถูฝุ่น บริเวณซอก,Deep Cleaning เช่น ทำความสะอาดตู้เย็น ทำความสะอาดพรม กำจัดตะกอน,ใช้กรงดักหนูหรือกาวกับดักหนูหรือไม่ ถ้าใช้สัปดาห์ละกี่ครั้ง,ใช้สารเคมีหรือยาฉีดกำจัดสัตว์นำโรคหรือไม่ เช่น ไบกอน ยาฉีดหนู ถ้าใช้สัปดาห์ละกี่ครั้ง,ใช้กรงดักแมลงวัน กาวดักแมลงวัน ถ้าใช้สัปดาห์ละกี่ครั้ง,ใช้ไม้ช็อตยุง เครื่องดักยุง ถ้าใช้สัปดาห์ละกี่ครั้ง,ท่านเคยใช้บริการบริษัทกำจัดแมลงหรือไม่ หากเคยใช้บ่อยเพียงใด,ท่อระบายน้ำในร้านมีตะแกรงปิดท่อน้ำหรือไม่,ความคิดเห็นเพิ่มเติมจากการสำรวจร้านค้าที่ได้สำรวจ
3/27/2019 13:17:31,ตึกสยามกิตติ์,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24 ชม.,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, มด",มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,0,0,0,0,0,มี,ไม่ทราบว่าใช้บริการบริษัทกำจัดแมลงหรือไม่ครับ
3/27/2019 13:20:26,ตึกสยามกิตติ์,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,7,8.00-20.00,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, ยุง",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,2-3ครั้ง/สัปดาห์,1ครั้ง/สัปดาห์,กาวดักหนู ทุกวัน,ไม่ใช้,ไม่ใช้,ไม่ใช้,ไม่เคย,มี,
3/27/2019 13:22:25,ติดถนนอังรี,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24ชม,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, มด",มีที่รองรับขยะมูลฝอย มีฝาปิด,2-3ครั้ง/สัปดาห์,2-3ครั้ง/สัปดาห์,1ครั้ง/สัปดาห์,0,0,0,0,0,มี,ก็ดูสะอาดดี ยกเว้นว่ามีคนทำของหกแล้วพี่มาเช็ด
3/27/2019 13:29:43,Siam square one,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24ชม.,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, มด",มีที่รองรับขยะมูลฝอย,ทุกวัน,2-3ครั้ง/สัปดาห์,ทุกวัน,0,0,0,0,0,มี,สะอาดดี พี่บอกว่า7-11ทุกร้านจะมีมาตรฐานในการทำความสะอาดร้านอยู่แล้ว
3/27/2019 13:36:41,สยามสแควร์ซอย 2,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24 ชม,ไม่มี,นักท่องเที่ยว,ไม่พบสัตว์นำโรค,มีที่รองรับขยะมูลฝอย มีฝาปิด,2-3ครั้ง/สัปดาห์,1 ครั้ง/สัปดาห์,1ครั้ง/สัปดาห์,0,0,0,0,0,มี,พี่พนักงานคนนี้ไม่สบายใจและดูเหมือนลังเลตอนที่ตอบว่าพบสัตว์อะไรบ้าง ก็เลยตอบว่าไม่พบ
3/27/2019 13:39:37,สยามสแควร์ซอย 5,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,6,8.00-20.00,มี,นักเรียน/นักศึกษา,ไม่พบสัตว์นำโรค,มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,ใช้ ทุกวัน,ไม่,ไม่,ไม่,ไม่,มี,
3/27/2019 13:44:05,ตรงข้าม mbk,27 มีนาคม 2562,ร้านสะดวกซื้อ,พื้นที่ร้านปิด,7,24 ชม.,ไม่มี,นักเรียน/นักศึกษา,แมลงวัน,มีที่รองรับขยะมูลฝอย มีฝาปิด,2-3ครั้ง/สัปดาห์,ทุกวัน,2-3ครั้ง/สัปดาห์,0,0,0,0,0,มี,
3/27/2019 13:44:24,สยามสแควร์ซอย 5,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,7,8-18,มี,นักเรียน/นักศึกษา,"หนู, แมลงสาบ, แมลงวัน, ยุง, มด",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,ไม่,ใช้ ทุกวัน,ไม่,ไม่,ไม่,มี,
3/27/2019 13:53:25,ตึกสยามกิตติ์,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,ทุกวัน,7.30-20.00,ไม่มี,นักเรียน/นักศึกษา,แมลงสาบ,มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,-,เจลดักเเมลงสาบอาทิตย์ละครั้ง,-,-,เดือนละครั้ง กำจัดปลวก,มี,
3/27/2019 14:04:43,สยามสแควร์ซอย 6,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,7,8.00-22.00,มี,นักเรียน/นักศึกษา,"แมลงสาบ, ยุง, จิ้งจก",มีที่รองรับขยะมูลฝอย ไม่มีฝาปิด,ทุกวัน,ทุกวัน,2-3ครั้ง/เดือนห,ไม่มีหนูในห้อง,นานนานที,ไม่มีแมลงวัน,-,-,มี,
3/27/2019 14:17:33,ตึกวิทยกิตติ์,27 มีนาคม 2562,สถาบันกวดวิชา,พื้นที่ร้านปิด,6,9-18,ไม่มี,นักเรียน/นักศึกษา,ยุง,มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,ไม่ได้,1,ไม่ได้ใช้,ไม่ได้ใช้,ไม่เคย,ไม่มี,
3/27/2019 15:32:49,ตึกสยามกิตติ์,27 มีนาคม 2562,ร้านอาหาร,พื้นที่ร้านปิด,7,8-22.00,ไม่มี,นักเรียน/นักศึกษา,"แมลงสาบ, แมลงวัน, นก",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,ทุกวัน,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,
3/27/2019 16:00:41,สยามสแควร์ซอย 5,27 มีนาคม 2562,ร้านอาหาร,พื้นที่ร้านปิด,7,10.45 22.00,มี,ทุุกกลุ่มเป้าหมาย,"หนู, แมลงสาบ, แมลงวัน, มด",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,2-3ครั้ง/สัปดาห์,ทุกวัน,เกือบทุกวัน,ไม่มี,ทุกวัน,ไม่,ทุกเดือน,มี,
3/27/2019 16:01:13,สยามสแควร์ซอย 5,27 มีนาคม 2562,ร้านเสื้อผ้า,พื้นที่ร้านปิด,ทุกวัน,12.00-21.00,มี,พนักงานออฟฟิศ,"แมลงวัน, ยุง, มด",มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,ทุกวัน,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,มี,
3/27/2019 16:10:11,ติดถนนอังรีดูนังต์,27 มีนาคม 2562,ร้านอาหาร,พื้นที่ร้านเปิดโล่ง,7วัน,9:00-22:30,มี,ทุกข้อ,แมลงวัน,มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,เดือนละครั้ง,1ครั้ง,ไม่เคย,ไม่เคย,ไม่เคย,มี,ภายในร้านสะอาด ภาชนะที่ใช้ในร้านสะอาด เข้าไปกินในร้านแล้วไม่พบสัตว์นำโรคชนิดใดขณะนั้น
3/27/2019 16:10:53,สยามสแควร์ซอย 2,27 มีนาคม 2562,ร้านอาหาร,พื้นที่ร้านปิด,7วัน,10.00-21.30,มี,ทุกกลุ่ม,"หนู, แมลงสาบ, แมลงวัน, ยุง, มด",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,ไม่ใช้,ใช้ยาฉีดแมลงสาบ,ไม่ใช้,ไม่ใช้,ไม่เคย,มี,
3/27/2019 16:16:51,สยามสแควร์ซอย 3,27 มีนาคม 2562,ร้านเสื้อผ้า,พื้นที่ร้านปิด,7,12:00-21:00,ไม่มี,พนักงานออฟฟิศ,มด,มีที่รองรับขยะมูลฝอย ไม่มีฝาปิด,2-3ครั้ง/สัปดาห์,2-3ครั้ง/สัปดาห์,2-3ครั้ง/สัปดาห์,ไม่ใช้,2,ไม่ใช้,ไม่ใช้,ไม่ใช้,ไม่มี,
3/27/2019 16:19:23,สยามสแควร์ซอย 6,27 มีนาคม 2562,ร้านเสื้อผ้า,พื้นที่ร้านปิด,7,12.00~20.00,ไม่มี,นักเรียน/นักศึกษา,"ยุง, มด",มีที่รองรับขยะมูลฝอย ไม่มีฝาปิด,ทุกวัน,2-3ครั้ง/สัปดาห์,ไม่เคย,ไม่,เดือนละครั้ง,ไม่ได้ใช้,ไม่ได้ใช้,เดือนละครั้ง,มี,
3/27/2019 16:28:34,สยามสแควร์ซอย 6,27 มีนาคม 2562,ร้านเสื้อผ้า,พื้นที่ร้านปิด,7,13.00-21.00,มี,นักเรียน/นักศึกษา,"หนู, แมลงสาบ, แมลงวัน, ยุง, มด",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,1ครั้ง/สัปดาห์,เป็นอาหารผสมยาเบื่อ เก็บ เดือนละครั้ง,ใช้ ยาฉีด 2-3เดือนต่อครั้ง,ไม่ใช้,ใช้ ช่วงหน้าฝน นานๆที 3-4เดือนต่อครั้ง,ไม่ แม่บ้านทำ ,มี,
3/27/2019 16:30:34,Siam soi7,27 มีนาคม 2562,ร้านเสื้อผ้า,พื้นที่ร้านปิด,ทุกวัน,จ-พฤ11:00-21.30 น. ศ-อา 11.00-22.00 น.,มี,หลากหลาย,แมลงสาบ,มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,-,สัปดาห์ละ 1 ครั้ง,-,-,-,มี,-
3/27/2019 16:31:42,สยามสแควร์ซอย 1,27 มีนาคม 2562,ร้านอาหาร,พื้นที่ร้านปิด,7,10:00-23:00,มี,ทุุกข้อ,"หนู, แมลงสาบ, แมลงวัน, ยุง, มด",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,ทุกวัน,2สัปดาห์/ครั้ง,2สัปดาห์/ครั้ง,ไม่มี,ไม่มี,2สัปดาห์/ครั้ง,มี,ร้านค้าดูสะอาด ขณะที่สำรวจไม่พบสัตว์นำโรค
3/27/2019 17:00:04,Siam square one,27 มีนาคม 2562,ร้านเสื้อผ้า,พื้นที่ร้านเปิดโล่ง,7,10.00-21.00,ไม่มี,ทั่วๆไป,ยุง,ไม่มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,ไม่เคย,-,-,-,-,มี 2-3ครั้งต่อปี,มี,-
3/27/2019 23:01:31,สยามสแควร์ซอย 2,27 มีนาคม 2562,ร้านอาหาร,พื้นที่ร้านปิด,7วัน,10.00-21.30,มี,ทุกกลุ่ม,"หนู, แมลงสาบ, แมลงวัน, ยุง, มด",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,ไม่ใช้,ใช้ยาฉีดแมลงสาบ,ไม่ใช้,ไม่ใช้,ไม่เคย,มี,
3/28/2019 14:54:11,Siam square one,28 มีนาคม 2562,ร้านอาหาร,พื้นที่ร้านปิด,7,10.00-22.00,ไม่มี,นักเรียน/นักศึกษา,"หนู, แมลงสาบ",มีที่รองรับขยะมูลฝอย ไม่มีฝาปิด,ทุกวัน,ทุกวัน,ทุกวัน,7,0.25,-,-,เดือนละครั้ง,มี,ข้างหลังบริเวณครัวดูไม่ค่อยสะอาดเท่าไหร่ แต่บริเวณร้านโอเคอยู่
3/28/2019 14:59:56,สยามสแควร์ซอย 3,28 มีนาคม 2562,ร้านอาหาร,พื้นที่ร้านปิด,7,12.00-22.00,ไม่มี,นักท่องเที่ยว,แมลงสาบ,มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,ทุกวัน,-,-,-,-,-,มี,รู้สึกว่าร้านโปร่ง ค่อนข้างกว้าง ของที่จัดวางเลยดูสะอาด แอร์เย็น(ไม่เก่า) มีการห้ามไม่ให้เอาสัตว์เลี้ยงเข้ามา
3/28/2019 15:35:29,Siam square one,28 มีนาคม 2562,ร้านเสริมสวย,พื้นที่ร้านปิด,7,10.30-21.30 น.,ไม่มี,ใกล้เคียงกัน,"แมลงสาบ, มด",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,ไม่มี,เดือนละ 1-2 ครั้ง,ไม่มี,ไม่มี,ไม่ใช้,มี,"-ใช้กาวดักแมลงสาบ เดือนละครั้งโดยประมาณ 
-คือร้านดูสะอาดมากอ่ะ (จากคนสัมภาษณ์)555 พื้นสะอาดดี"
3/28/2019 15:51:04,สยามสแควร์ซอย 3,28 มีนาคม 2562,ร้านเสริมสวย,พื้นที่ร้านปิด,7,10.00-21.00,ไม่มี,ทั้งหมด,"แมลงสาบ, แมลงวัน, ยุง, มด, แมว",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,ทุกวัน,-,-,-,-,-,มี,"กล่องดักแมลงสาบตั้งไว้ทุกวัน, มีแมวเยอะ"
3/28/2019 15:56:13,สยามสแควร์ซอย 2,28 มีนาคม 2562,ร้านเสริมสวย,พื้นที่ร้านปิด,7,11.00-21.00,มี,พนักงานออฟฟิศ,"หนู, แมลงสาบ, มด",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,2-3ครั้ง/สัปดาห์,-,มี ฉีดยาฆ่า 2\7,-,-,-,ไม่มี,
3/28/2019 16:07:14,สยามสแควร์ซอย 1,28 มีนาคม 2562,ร้านเสริมสวย,พื้นที่ร้านปิด,7,11.30-20.30,มี,All,"หนู, แมลงสาบ",มีที่รองรับขยะมูลฝอย มีฝาปิด,ทุกวัน,ทุกวัน,ทุกวัน,ใช้เครื่องไฟฟ้า,-,-,-,-,มี,"เครื่องไฟฟ้าใช้ป้องกันหนูอย่างเดียว โดยเสียบปลั๊กค้างไว้, ไม่มีแมลงอื่น,ไม่มีท่อระบายน้ำภายในร้าน"
3/28/2019 16:20:42,ตึกสยามกิตติ์,28 มีนาคม 2562,ร้านเสริมสวย,พื้นที่ร้านปิด,7,12.00-21.00,ไม่มี,ออฟฟิศ ต่างชาติ,"แมลงสาบ, แมลงวัน",มีที่รองรับขยะมูลฝอย ไม่มีฝาปิด,ทุกวัน,ทุกวัน,ทุกวัน,-,-,-,-,-,มี,ยังหาวิธีกำจัดแมลงสาบอยู่
3/28/2019 16:29:57,สยามสแควร์ซอย 6,28 มีนาคม 2562,ร้านเสริมสวย,พื้นที่ร้านปิด,7,10.00 - 21.00,มี,ทั่วไป คละ,"หนู, แมลงสาบ, แมลงวัน, ยุง, มด",มีที่รองรับขยะมูลฝอย,ทุกวัน,ทุกวัน,2-3ครั้ง/เดือนห,-,1,-,-,-,มี,